name,long,lat  
N.S1N01,141.0535,35.8968
N.S1N02,141.3772,35.8424
N.S1N03,141.6451,35.7203
N.S1N04,141.9041,35.6036
N.S1N05,142.0531,35.4047
N.S1N06,141.8692,35.2277
N.S1N07,141.5902,35.2773
N.S1N08,141.3898,35.4536
N.S1N09,141.3068,35.227
N.S1N10,141.2021,35.0925
N.S1N11,140.9682,35.1203
N.S1N12,140.8091,35.0228
N.S1N13,140.9627,34.8788
N.S1N14,141.0907,34.6407
N.S1N15,141.3512,34.5256
N.S1N16,141.5402,34.3686
N.S1N17,141.3341,34.1956
N.S1N18,141.0316,34.262
N.S1N19,140.7311,34.2269
N.S1N20,140.4159,34.2592
N.S1N21,140.203 ,34.4231
N.S1N22,140.0906,34.6443
N.S2N01,141.3845,37.8428
N.S2N02,141.6387,37.6922
N.S2N03,141.965 ,37.7073
N.S2N04,142.2975,37.6739
N.S2N05,142.6236,37.6016
N.S2N06,142.935 ,37.5259
N.S2N07,143.2266,37.429
N.S2N08,143.07  ,37.222
N.S2N09,142.8188,37.0741
N.S2N10,142.4979,37.0948
N.S2N11,142.1998,37.1931
N.S2N12,141.879 ,37.2772
N.S2N13A,141.5709,37.3003
N.S2N14,141.3703,37.0952
N.S2N15,141.3307,36.8344
N.S2N16,141.5207,36.662
N.S2N17,141.8389,36.6337
N.S2N18,142.1445,36.6824
N.S2N19,142.4389,36.5986
N.S2N20,142.6164,36.3885
N.S2N21,142.5553,36.1577
N.S2N22,142.4014,35.9463
N.S2N23,142.1138,35.9677
N.S2N24,141.7944,35.9976
N.S2N25,141.5095,36.0729
N.S2N26,141.2021,36.1442
N.S3N01,142.4578,39.4497
N.S3N02,142.7918,39.3746
N.S3N03,143.1206,39.3231
N.S3N04,143.4544,39.2958
N.S3N05,143.7499,39.1906
N.S3N06,143.9305,39.0459
N.S3N07,143.7846,38.8308
N.S3N08,143.4769,38.7826
N.S3N09,143.1437,38.7739
N.S3N10,142.8212,38.8668
N.S3N11,142.4873,38.9349
N.S3N12,142.1816,38.8412
N.S3N13,142.1816,38.5901
N.S3N14,142.5002,38.4993
N.S3N15,142.8376,38.4487
N.S3N16,143.1703,38.4262
N.S3N17,143.5139,38.3978
N.S3N18,143.781 ,38.3063
N.S3N19,143.7441,38.0594
N.S3N20,143.5675,37.9311
N.S3N21,143.2454,37.9713
N.S3N22,142.9072,37.9838
N.S3N23,142.5735,38.027
N.S3N24,142.234 ,38.0569
N.S3N25,141.8957,38.0972
N.S3N26,141.5572,38.106
N.S4N01,141.7895,40.7881
N.S4N02,142.1057,40.9069
N.S4N03,142.4314,41.0156
N.S4N04,142.7706,41.0762
N.S4N05,143.1138,41.0443
N.S4N06,143.4481,40.9718
N.S4N07,143.7746,40.882
N.S4N08,144.0905,40.7805
N.S4N09,144.1332,40.5521
N.S4N10,143.8887,40.4327
N.S4N11,143.543 ,40.4353
N.S4N12,143.2015,40.4515
N.S4N13,142.9617,40.5196
N.S4N14,142.634 ,40.5927
N.S4N15,142.2844,40.5933
N.S4N16,142.2673,40.3295
N.S4N17,142.3926,40.1165
N.S4N18,142.6222,40.1088
N.S4N19,142.9695,40.0904
N.S4N20,143.321 ,40.0743
N.S4N21,143.6572,40.0863
N.S4N22,143.9547,40.026
N.S4N23,143.9259,39.7718
N.S4N24,143.7154,39.6388
N.S4N25,143.3749,39.6976
N.S4N26,143.0384,39.7245
N.S4N27,142.6903,39.7445
N.S4N28,142.3408,39.7385
N.S5N01,145.7115,42.7688
N.S5N02,145.4063,42.6403
N.S5N03,145.1433,42.4802
N.S5N04,145.204 ,42.2286
N.S5N05,145.437 ,42.0615
N.S5N06,145.6544,41.884
N.S5N07,145.5291,41.6637
N.S5N08,145.2483,41.5301
N.S5N09,144.905 ,41.521
N.S5N10,144.6716,41.6541
N.S5N11,144.6955,41.9072
N.S5N12,144.6375,42.0784
N.S5N13,144.3445,41.9792
N.S5N14,144.1779,41.7475
N.S5N15,144.0879,41.4961
N.S5N16,143.8006,41.3742
N.S5N17,143.453 ,41.3643
N.S5N18,143.1264,41.4351
N.S5N19,142.8177,41.5607
N.S5N20,142.4787,41.6095
N.S5N21,142.2193,41.4248
N.S5N22,142.0271,41.1989
N.S5N23,141.8762,40.954
N.S6N01,146.0211,42.8064
N.S6N02,146.078 ,42.5807
N.S6N03,146.2316,42.0943
N.S6N04,146.1747,41.6653
N.S6N05,145.6053,41.3717
N.S6N06,145.3929,40.8999
N.S6N07,144.9381,40.536
N.S6N08,144.8089,40.0319
N.S6N09,144.7191,39.5172
N.S6N10,144.5915,39.0072
N.S6N11,144.4536,38.499
N.S6N12,144.3357,37.9879
N.S6N13,144.1757,37.4862
N.S6N14,143.9557,37.012
N.S6N15,143.6059,36.5748
N.S6N16,143.2823,36.1262
N.S6N17,142.9688,35.6745
N.S6N18,142.6799,35.2114
N.S6N19,142.5208,34.7118
N.S6N20,142.2389,34.2604
N.S6N21,141.7291,33.9619
N.S6N22,141.1281,33.8601
N.S6N23,140.5189,33.9448
N.S6N24,139.9814,34.1773
N.S6N25,139.8167,34.6696
28401,144.540,32.384  
21418,148.847,38.716
21419,155.653,44.401
